18
 0.19956E+02; 0.24962E+00; 0.30141E+02; 0.20075E+01; 0.28956E+01; 0.17190E+02; 0.80008E+02; 0.92008E+00; 0.24997E+00; 0.20019E+02; 0.56106E+05; 0.25286E+02; 0.40685E+02; 0.90007E+00; 0.11256E-01; 0.21954E-01;-0.34485E-03; 0.55159E+00; normal    
 0.20094E+02; 0.24870E+00; 0.30201E+02; 0.19968E+01; 0.28536E+01; 0.17131E+02; 0.80119E+02; 0.89651E+00; 0.25432E+00; 0.20153E+02; 0.56003E+05; 0.26273E+02; 0.40609E+02; 0.89856E+00;-0.47407E-02; 0.10054E-02;-0.35665E-03;-0.66216E-01; normal    
 0.20129E+02; 0.24717E+00; 0.29995E+02; 0.19943E+01; 0.28503E+01; 0.17127E+02; 0.79895E+02; 0.90128E+00; 0.25113E+00; 0.19835E+02; 0.56077E+05; 0.25233E+02; 0.40942E+02; 0.90255E+00;-0.76360E-02;-0.26589E-02; 0.10823E-02;-0.15166E+00; normal    
 0.19915E+02; 0.25109E+00; 0.30025E+02; 0.20144E+01; 0.28577E+01; 0.17308E+02; 0.79843E+02; 0.90303E+00; 0.24798E+00; 0.19890E+02; 0.56335E+05; 0.25527E+02; 0.40914E+02; 0.90084E+00; 0.22940E-01;-0.23148E-02;-0.34365E-02; 0.10293E+01; normal    
 0.19779E+02; 0.25259E+00; 0.30074E+02; 0.20026E+01; 0.28887E+01; 0.16929E+02; 0.80223E+02; 0.91031E+00; 0.24917E+00; 0.19965E+02; 0.55816E+05; 0.25393E+02; 0.40610E+02; 0.90496E+00; 0.56925E-02; 0.16278E-01;-0.16199E-02;-0.38816E+00; normal    
 0.20167E+02; 0.24965E+00; 0.30123E+02; 0.19924E+01; 0.28060E+01; 0.17211E+02; 0.80030E+02; 0.90317E+00; 0.24670E+00; 0.19832E+02; 0.55983E+05; 0.25461E+02; 0.40712E+02; 0.89787E+00;-0.93907E-02; 0.53920E-02;-0.43657E-02;-0.99697E-01; normal    
 0.19990E+02; 0.24774E+00; 0.29923E+02; 0.19782E+01; 0.28992E+01; 0.16982E+02; 0.80058E+02; 0.90604E+00; 0.24895E+00; 0.20082E+02; 0.56278E+05; 0.24233E+02; 0.40985E+02; 0.88886E+00;-0.30888E-01;-0.52089E-03; 0.34630E-02;-0.93611E+00; normal    
 0.20191E+02; 0.25047E+00; 0.29987E+02; 0.19892E+01; 0.28722E+01; 0.17090E+02; 0.80032E+02; 0.90479E+00; 0.25202E+00; 0.20067E+02; 0.56428E+05; 0.24413E+02; 0.40943E+02; 0.90079E+00;-0.14695E-01;-0.19887E-02; 0.56843E-02;-0.37456E+00; normal    
 0.20221E+02; 0.24838E+00; 0.30163E+02; 0.19976E+01; 0.28188E+01; 0.17008E+02; 0.80045E+02; 0.89985E+00; 0.24915E+00; 0.19850E+02; 0.56891E+05; 0.25717E+02; 0.40983E+02; 0.91555E+00;-0.16776E-02;-0.11589E-01;-0.30729E-02;-0.52735E+00; normal    
 0.20212E+02; 0.24715E+00; 0.29858E+02; 0.19987E+01; 0.28395E+01; 0.16904E+02; 0.79968E+02; 0.89793E+00; 0.25112E+00; 0.20009E+02; 0.56123E+05; 0.24879E+02; 0.40578E+02; 0.89200E+00; 0.28461E-03; 0.21842E-02; 0.26475E-02;-0.74432E+00; normal    
 0.20312E+02; 0.24832E+00; 0.29979E+02; 0.20011E+01; 0.28422E+01; 0.17348E+02; 0.80309E+02; 0.89854E+00; 0.24883E+00; 0.20263E+02; 0.57102E+05; 0.25359E+02; 0.40694E+02; 0.89438E+00; 0.37586E-02;-0.77237E-02;-0.18050E-02; 0.65450E+00; normal    
 0.20139E+02; 0.24921E+00; 0.29902E+02; 0.19924E+01; 0.28585E+01; 0.17289E+02; 0.80003E+02; 0.90016E+00; 0.24838E+00; 0.19948E+02; 0.56576E+05; 0.25070E+02; 0.40804E+02; 0.88843E+00;-0.88661E-02;-0.45313E-02;-0.92980E-03; 0.25358E+00; normal    
